feedback,sentiment,service_category
The Billing & Payments is excellent and working perfectly,Positive,Billing & Payments
Average experience with Broadband Service,Neutral,Broadband Service
The Customer Support is excellent and working perfectly,Positive,Customer Support
Broadband Service is okay but nothing special,Neutral,Broadband Service
No major issues but could be better in Mobile App Issues,Neutral,Mobile App Issues
Service Activation has improved a lot recently,Positive,Service Activation
Broadband Service works well sometimes but fails often,Mixed,Broadband Service
Mobile App Issues is extremely unreliable,Negative,Mobile App Issues
Billing & Payments needs serious improvement,Negative,Billing & Payments
The Broadband Service is very poor and disappointing,Negative,Broadband Service
Great experience using Customer Support,Positive,Customer Support
Great experience using Broadband Service,Positive,Broadband Service
Very bad experience with Billing & Payments,Negative,Billing & Payments
Service Activation needs serious improvement,Negative,Service Activation
The Mobile App Issues is very poor and disappointing,Negative,Mobile App Issues
The Billing & Payments is very poor and disappointing,Negative,Billing & Payments
The Mobile Network is very poor and disappointing,Negative,Mobile Network
Billing & Payments works fine sometimes,Neutral,Billing & Payments
I like the Billing & Payments but it needs improvement,Mixed,Billing & Payments
Broadband Service is extremely unreliable,Negative,Broadband Service
Broadband Service is acceptable for now,Neutral,Broadband Service
Customer Support is okay but nothing special,Neutral,Customer Support
Mobile App Issues is acceptable for now,Neutral,Mobile App Issues
Service Activation is acceptable for now,Neutral,Service Activation
Average experience with Billing & Payments,Neutral,Billing & Payments
Service Activation is extremely unreliable,Negative,Service Activation
Service Activation is fast and reliable,Positive,Service Activation
Facing constant issues with Billing & Payments,Negative,Billing & Payments
There are both good and bad aspects of Customer Support,Mixed,Customer Support
Very bad experience with Service Activation,Negative,Service Activation
Facing constant issues with Customer Support,Negative,Customer Support
Broadband Service is extremely unreliable,Negative,Broadband Service
The Mobile App Issues is good but has some issues,Mixed,Mobile App Issues
Mobile Network needs serious improvement,Negative,Mobile Network
Facing constant issues with Broadband Service,Negative,Broadband Service
Great experience using Mobile Network,Positive,Mobile Network
Mobile Network has improved a lot recently,Positive,Mobile Network
Facing constant issues with Billing & Payments,Negative,Billing & Payments
Mobile App Issues is fast but frequently disconnects,Mixed,Mobile App Issues
There are both good and bad aspects of Billing & Payments,Mixed,Billing & Payments
Broadband Service is fast and reliable,Positive,Broadband Service
The Customer Support is very poor and disappointing,Negative,Customer Support
Customer Support works well sometimes but fails often,Mixed,Customer Support
Service Activation works fine sometimes,Neutral,Service Activation
Very bad experience with Broadband Service,Negative,Broadband Service
The Service Activation is excellent and working perfectly,Positive,Service Activation
Average experience with Mobile App Issues,Neutral,Mobile App Issues
The Service Activation is very poor and disappointing,Negative,Service Activation
Billing & Payments has improved a lot recently,Positive,Billing & Payments
Facing constant issues with Mobile App Issues,Negative,Mobile App Issues
Great experience using Billing & Payments,Positive,Billing & Payments
Mobile Network has improved a lot recently,Positive,Mobile Network
Customer Support is fast but frequently disconnects,Mixed,Customer Support
Average experience with Mobile Network,Neutral,Mobile Network
The Mobile Network is very poor and disappointing,Negative,Mobile Network
Average experience with Mobile App Issues,Neutral,Mobile App Issues
The Broadband Service is excellent and working perfectly,Positive,Broadband Service
Facing constant issues with Broadband Service,Negative,Broadband Service
Broadband Service is okay but nothing special,Neutral,Broadband Service
Average experience with Customer Support,Neutral,Customer Support
Average experience with Customer Support,Neutral,Customer Support
Customer Support is fast and reliable,Positive,Customer Support
Facing constant issues with Mobile Network,Negative,Mobile Network
Really happy with the Service Activation,Positive,Service Activation
Customer Support is extremely unreliable,Negative,Customer Support
Average experience with Billing & Payments,Neutral,Billing & Payments
Customer Support has improved a lot recently,Positive,Customer Support
Service Activation is fast but frequently disconnects,Mixed,Service Activation
There are both good and bad aspects of Customer Support,Mixed,Customer Support
Great experience using Customer Support,Positive,Customer Support
Broadband Service is acceptable for now,Neutral,Broadband Service
Great experience using Service Activation,Positive,Service Activation
Service Activation works fine sometimes,Neutral,Service Activation
Broadband Service needs serious improvement,Negative,Broadband Service
The Customer Support is excellent and working perfectly,Positive,Customer Support
I like the Customer Support but it needs improvement,Mixed,Customer Support
Service Activation is fast and reliable,Positive,Service Activation
Average experience with Service Activation,Neutral,Service Activation
Billing & Payments is fast and reliable,Positive,Billing & Payments
Broadband Service is extremely unreliable,Negative,Broadband Service
Mobile Network is acceptable for now,Neutral,Mobile Network
Great experience using Mobile App Issues,Positive,Mobile App Issues
Billing & Payments is okay but nothing special,Neutral,Billing & Payments
Mobile Network is okay but nothing special,Neutral,Mobile Network
Broadband Service works well sometimes but fails often,Mixed,Broadband Service
Great experience using Mobile App Issues,Positive,Mobile App Issues
Mobile App Issues needs serious improvement,Negative,Mobile App Issues
No major issues but could be better in Mobile Network,Neutral,Mobile Network
Billing & Payments has improved a lot recently,Positive,Billing & Payments
Service Activation needs serious improvement,Negative,Service Activation
